Date,AMZN,BAC,BSX,JNJ,JPM,MCD,MSFT,NFLX,NVDA,PG
2020-01-02,94.90049743652344,31.09231758117676,45.33000183105469,124.98371887207033,120.73357391357422,176.8116455078125,153.0422821044922,329.8099975585937,5.97174596786499,107.74822998046876
2020-01-03,93.74849700927734,30.44674491882324,44.97999954223633,123.5366439819336,119.14034271240234,176.18643188476562,151.13665771484375,325.8999938964844,5.876162528991699,107.0235824584961
2020-01-06,95.1439971923828,30.403114318847656,45.34999847412109,123.38253021240234,119.04557800292967,178.167724609375,151.5272979736328,335.8299865722656,5.90080451965332,107.17200469970705
2020-01-07,95.34300231933594,30.202472686767575,45.400001525878906,124.13602447509766,117.021728515625,178.431884765625,150.1457061767578,330.75,5.9722442626953125,106.50846099853516
2020-01-08,94.59850311279295,30.5078067779541,45.63999938964844,124.118896484375,117.9346160888672,181.3201904296875,152.53733825683594,339.260009765625,5.98344612121582,106.96247100830078
2020-01-09,95.05249786376952,30.56015014648437,45.709999084472656,124.48706817626952,118.36522674560548,183.4688415527344,154.4429473876953,335.6600036621094,6.049160003662109,108.13241577148438
2020-01-10,94.15799713134766,30.30715560913086,45.66999816894531,124.20452880859376,117.18537139892578,182.51776123046875,153.72833251953125,329.04998779296875,6.081518650054932,108.23719024658205
2020-01-13,94.56500244140624,30.586328506469727,45.470001220703125,124.75249481201172,118.15853118896484,181.8485565185547,155.57681274414062,338.9200134277344,6.27218770980835,109.03170776367188
2020-01-14,93.47200012207033,30.81314468383789,42.65999984741211,125.45464324951172,119.53649139404295,182.5618133544922,154.4810791015625,338.69000244140625,6.155198097229004,108.86579895019533
2020-01-15,93.10099792480467,30.24608039855957,42.56999969482422,125.87413787841795,117.74515533447266,184.71926879882807,155.4814910888672,339.07000732421875,6.112632751464844,109.97464752197266
2020-01-16,93.89700317382812,30.28971099853516,43.20000076293945,126.89309692382812,118.2016143798828,185.6702423095703,158.3304443359375,338.6199951171875,6.196269035339356,110.07067108154295
2020-01-17,93.23600006103516,30.280982971191406,44.27999877929688,127.72357940673828,119.01974487304688,186.6653289794922,159.21658325195312,339.6700134277344,6.204980850219727,110.3675308227539
2020-01-21,94.5999984741211,29.88840103149414,44.06999969482422,127.80925750732422,117.84848022460938,185.9432373046875,158.64488220214844,338.1099853515625,6.171627044677734,110.08812713623048
2020-01-22,94.3730010986328,29.975635528564453,44.04999923706055,126.9359130859375,117.710693359375,186.18978881835935,157.88265991210938,326.0,6.225641250610352,110.28020477294922
2020-01-23,94.22899627685548,29.766263961791992,43.56999969482422,127.17567443847656,117.59012603759766,187.933349609375,158.8545379638672,349.6000061035156,6.294093608856201,109.7760772705078
2020-01-24,93.08200073242188,29.26027488708496,43.209999084472656,126.9958267211914,114.67061614990234,186.0137176513672,157.25381469726562,353.1600036621094,6.234850883483887,109.90782165527344
2020-01-27,91.41699981689452,28.658315658569336,42.650001525878906,127.36400604248048,113.70604705810548,184.3405914306641,154.62399291992188,342.8800048828125,5.978966236114502,110.390869140625
2020-01-28,92.6624984741211,28.998559951782227,43.45000076293945,128.00619506835938,115.77295684814452,185.26519775390625,157.65396118164062,348.5199890136719,6.1723737716674805,110.68949127197266
2020-01-29,92.9000015258789,28.797901153564453,43.95000076293945,128.89662170410156,115.60071563720705,188.83155822753903,160.1122283935547,343.1600036621094,6.1118879318237305,109.83756256103516
2020-01-30,93.53399658203124,29.20793342590332,43.40999984741211,128.74256896972656,117.03033447265624,190.36370849609372,164.6285858154297,347.739990234375,6.118607997894287,110.61923217773438
2020-01-31,100.43599700927734,28.640872955322266,41.869998931884766,127.46674346923828,113.99026489257812,188.4176483154297,162.19894409179688,345.0899963378906,5.885123252868652,109.4511260986328
2020-02-03,100.20999908447266,28.76300430297852,42.22999954223633,128.57984924316406,114.86006927490234,189.48313903808597,166.15310668945312,358.0,5.982200145721436,109.88147735595705
2020-02-04,102.4834976196289,29.330066680908203,42.880001068115234,129.80426025390625,116.51361846923828,188.99002075195312,171.62229919433594,369.010009765625,6.151463031768799,110.36453247070312
2020-02-05,101.99349975585938,30.280982971191406,42.619998931884766,131.8506317138672,118.4943618774414,188.76991271972656,171.4127197265625,369.6700134277344,6.241820812225342,111.3745346069336
2020-02-06,102.5114974975586,30.24608039855957,43.0099983215332,131.45680236816406,118.51163482666016,187.4490509033203,174.9667205810547,366.9500122070313,6.328691482543945,111.66436767578124
2020-02-07,103.96399688720705,30.19374084472656,42.18999862670898,130.05258178710938,118.13268280029295,186.33953857421875,175.21446228027344,366.7699890136719,6.26248025894165,110.7334213256836
2020-02-10,106.69550323486328,30.26353073120117,42.220001220703125,130.02688598632812,118.62360382080078,187.7484588623047,179.79751586914062,371.0700073242188,6.545748233795166,110.81243896484376
2020-02-11,107.54000091552734,30.333328247070312,42.56999969482422,130.13815307617188,118.84748840332033,189.96751403808597,175.738525390625,373.6900024414063,6.668214321136475,109.047119140625
2020-02-12,108.0,30.46418190002441,42.22999954223633,129.36758422851562,118.84748840332033,191.4909210205078,175.9958038330078,380.010009765625,6.783960342407227,108.42354583740234
2020-02-13,107.49349975585938,30.45546531677246,42.18000030517578,128.51133728027344,118.74415588378906,191.45571899414065,175.04295349121094,381.3999938964844,6.74014949798584,109.74971771240234
2020-02-14,106.74349975585938,30.403114318847656,42.310001373291016,128.54563903808594,118.38245391845705,191.1651153564453,176.60562133789062,380.3999938964844,7.2133402824401855,110.7861099243164
2020-02-18,107.78350067138672,29.897130966186523,42.15999984741211,127.69792938232422,116.81503295898438,190.3373565673828,178.39694213867188,387.7799987792969,7.382107734680176,109.67069244384766
2020-02-19,108.51100158691406,30.28971099853516,43.02000045776367,127.52669525146484,118.40827941894533,189.8794403076172,178.9319610595703,386.1900024414063,7.833390712738037,110.17131042480467
2020-02-20,107.65499877929688,30.403114318847656,42.5,127.03864288330078,118.40827941894533,189.3950958251953,176.19940185546875,386.0,7.684041023254394,111.17253875732422
2020-02-21,104.79850006103516,29.975635528564453,42.619998931884766,128.3743438720703,116.96143341064452,190.09078979492188,170.62928771972656,380.0700073242188,7.319876194000244,111.27792358398438
2020-02-24,100.4645004272461,28.55363273620605,41.08000183105469,125.7289581298828,113.81802368164062,188.02142333984372,163.2725372314453,368.7000122070313,6.802380084991455,108.29180145263672
2020-02-25,98.63700103759766,27.11417388916016,39.90999984741211,124.6432113647461,108.7368621826172,186.77101135253903,160.5782012939453,360.0899963378906,6.522846698760986,106.64940643310548
2020-02-26,98.97949981689452,26.721590042114254,39.38999938964844,123.8073959350586,109.06409454345705,185.0098114013672,162.58460998535156,379.239990234375,6.6622395515441895,105.53399658203124
2020-02-27,94.21499633789062,25.412992477416992,37.91999816894531,119.87808227539062,104.52552032470705,176.99652099609375,151.12905883789062,371.7099914550781,6.291380882263184,99.68465423583984
2020-02-28,94.1875,24.86338233947754,37.38999938964844,115.8798599243164,99.99552917480467,172.05215454101562,154.78839111328125,369.0299987792969,6.726498126983643,99.44752502441406
2020-03-02,97.69750213623048,25.62236785888672,38.27000045776367,120.65362548828124,104.65467834472656,179.4776153564453,165.08782958984375,381.0499877929688,6.884904384613037,105.00701904296876
2020-03-03,95.44950103759766,24.209081649780277,37.22999954223633,116.83633422851562,100.72756958007812,176.78390502929688,157.17689514160156,368.7699890136719,6.6223907470703125,103.78622436523438
2020-03-04,98.79149627685548,24.76742172241211,38.75,123.63504791259766,103.21646881103516,183.43844604492188,162.94766235351562,383.7900085449219,7.086148738861084,109.3457260131836
2020-03-05,96.20149993896484,23.511934280395508,37.459999084472656,122.3683853149414,98.1525421142578,175.72943115234375,158.85845947265625,372.7799987792969,6.806697845458984,106.82505798339844
2020-03-06,95.05449676513672,22.5725040435791,37.59999847412109,122.38561248779295,93.07999420166016,176.2079315185547,154.36798095703125,368.9700012207031,6.626125335693359,106.85142517089844
2020-03-09,90.03050231933594,19.253793716430664,34.09000015258789,117.56876373291016,80.47180938720703,165.57485961914062,143.9060821533203,346.489990234375,6.113052368164063,101.93305206298828
2020-03-10,94.59100341796876,20.728775024414062,35.18000030517578,122.04957580566406,86.72422790527344,177.0940399169922,153.74691772460938,364.1300048828125,6.502589702606201,105.87652587890624
2020-03-11,91.04299926757812,19.90349006652832,33.86000061035156,113.57054138183594,82.64208221435547,166.80650329589844,146.7819061279297,349.9200134277344,6.138705253601074,98.00714111328124
2020-03-12,83.83049774169922,18.007081985473633,31.0,108.06433868408205,75.82987976074219,150.75054931640625,132.8613739013672,315.25,5.38752555847168,89.44392395019531
2020-03-13,89.25,21.211654663085938,32.33000183105469,115.71614074707033,89.48872375488281,156.95321655273438,151.75009155273438,336.29998779296875,5.99848222732544,100.1852798461914
